CensusID,Date,Site,TimeStart,DayNight,TideZone,IndexSpecies.SpeciesName,IndexSpecies_1.SpeciesName
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,UNID
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Risellopsis varia
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Paratrophon patens,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Paratrophon patens,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum scobina,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
196,01-Jul-04,TaurangaHead,3:04,Night,General_Unspecified,Haustrum haustorium,Not Feeding
